,Pitcher,Control
0,"Ober, Bailey",6.3242583445000005
1,"Kirby, George",6.4033571855
3,"Ryan, Joe",6.4236566295
7,"Gausman, Kevin",6.529555295
5,"Williams, Trevor",6.586003687
2,"Rodriguez, Eduardo",6.654561457
9,"Strider, Spencer",6.671218038999999
4,"Wheeler, Zack",6.6770589335
6,"Cole, Gerrit",6.7147735305000005
27,"Steele, Justin",6.770269039
17,"Manaea, Sean",6.940017237999999
19,"Luzardo, Jesús",6.9768957579999995
10,"Nelson, Ryne",7.0243176035
14,"Javier, Cristian",7.046077652
13,"López, Pablo",7.0540349435
24,"Lynn, Lance",7.098079847
16,"Gallen, Zac",7.1200024175
29,"Pivetta, Nick",7.247622870500001
8,"Peralta, Freddy",7.305156661
20,"Heaney, Andrew",7.3129794575
15,"Clevinger, Mike",7.339684236
11,"Castillo, Luis",7.3714014915
28,"Miller, Bryce",7.4299072095
23,"Greene, Hunter",7.445210551000001
37,"Gore, MacKenzie",7.5201290435
32,"Scherzer, Max",7.544421277
12,"Kremer, Dean",7.544659073
33,"Giolito, Lucas",7.5517010695
26,"Megill, Tylor",7.566990582500001
22,"Rodriguez, Grayson",7.5699301395
21,"Verlander, Justin",7.6043918865
36,"Detmers, Reid",7.6226543955
30,"Gray, Jon",7.639005735
18,"Gilbert, Logan",7.647867115
25,"Kikuchi, Yusei",7.655104565
38,"Sears, JP",7.664485002
31,"Brown, Hunter",7.691298439
42,"Waldichuk, Ken",7.884356275
35,"Cease, Dylan",7.975655919
41,"Kopech, Michael",8.094865544000001
34,"Flaherty, Jack",8.124212797
40,"Snell, Blake",8.163046203
39,"Bibee, Tanner",8.2984107445
43,"Senga, Kodai",8.632082416500001
44,"Oviedo, Johan",8.6842830615
